Architecture    Offer                                      Publisher    Sku                                  Urn                                                                                                   Version
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202505210                         22.04.202505210
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202506120                         22.04.202506120
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202506240                         22.04.202506240
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202507220                         22.04.202507220
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202507300                         22.04.202507300
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202509110                         22.04.202509110
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202510140                         22.04.202510140
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202511190                         22.04.202511190
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202512181                         22.04.202512181
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202601280                         22.04.202601280
